# Generated by scripts/build-icon-map.ts — do not edit.
# kind	match	key	source	variant	licence	brand_hex	dark_ink
domain	babbel.com	babbel	thesvg	color	Trademark	#FE4D03	
domain	babelio.com	babelio	thesvg	color	CC0-1.0	#FBB91E	
domain	babeljs.io	babel	thesvg	color	CC0-1.0	#F9DC3E	
domain	backblaze.com	backblaze	thesvg	color	CC0-1.0	#E21E29	
domain	backbonejs.org	backbone	gilbarbara	color	CC0-1.0		
domain	backendless.com	backendless	thesvg	color	CC0-1.0	#1D77BD	
domain	backerkit.com	backerkit	gilbarbara	color	CC0-1.0		1
domain	badoo.com	badoo	thesvg	color	CC0-1.0	#783BF9	
domain	bahn.de	deutschebahn	thesvg	color	CC0-1.0	#F01414	
domain	baichuan-ai.com	baichuan	thesvg	color	MIT	#FF6933	1
domain	baidu.com	baidu	thesvg	color	CC0-1.0	#2932E1	1
domain	bajajauto.com	bajajauto	thesvg	color	CC0-1.0	#0066A6	
domain	bakalari.cz	bakalari	thesvg	color	CC0-1.0	#00A2E2	
domain	bakerstreet.io	bakerstreet	gilbarbara	color	CC0-1.0		
domain	balena.io	balena	gilbarbara	color	CC0-1.0		
domain	bambooairways.com	bambooairways	thesvg	color	CC0-1.0	#64ae55	
domain	bambulab.com	bambulab	thesvg	color	CC0-1.0	#00AE42	
domain	bancor.network	bancor	thesvg	color	CC0-1.0	#1782FB	
domain	bandcamp.com	bandcamp	thesvg	color	CC0-1.0	#408294	
domain	bandlab.com	bandlab	thesvg	color	CC0-1.0	#F12C18	
domain	bandsintown.com	bandsintown	thesvg	color	CC0-1.0	#00CEC8	
domain	bankofamerica.com	bankofamerica	thesvg	color	CC0-1.0	#012169	1
domain	banxico.org.mx	spei	thesvg	color	MIT	#343084	
domain	baoviet.com.vn	baovietholdings	thesvg	color	CC0-1.0	#BF921E	
domain	baremetrics.com	baremetrics	thesvg	color	CC0-1.0	#6078FF	
domain	barmenia.de	barmenia	thesvg	color	CC0-1.0	#009FE3	
